item_code,item,q1_2023,q1_2024,q2_2023,q2_2024,q1_2024_share,q2_2024_share
TOTALEXP,Average annual expenditures,33776.0,35046.0,48923.0,50054.0,100.0,100.0
FOODTOTL,Food,5278.0,5498.0,7100.0,7400.0,15.69,14.78
FOODHOME,Food at home,3707.0,3843.0,4680.0,4952.0,10.97,9.89
FOODAWAY,Food away from home,1571.0,1655.0,2421.0,2448.0,4.72,4.89
HOUSING,Housing,13943.0,14563.0,18656.0,19174.0,41.55,38.31
OWNDWELL,Owned dwellings,2918.0,2989.0,4874.0,5153.0,8.53,10.29
RNTDWELL,Rented dwellings,5496.0,5781.0,5805.0,6225.0,16.5,12.44
OTHLODGE,Other lodging,340.0,409.0,517.0,523.0,1.17,1.04
HEALTH,Healthcare,3539.0,3445.0,4844.0,4826.0,9.83,9.64
HLTHINSR,Health insurance,2328.0,2153.0,3291.0,3194.0,6.14,6.38
MEDSERVS,Medical services,665.0,661.0,867.0,848.0,1.89,1.69
DRUGS,Drugs,351.0,416.0,496.0,644.0,1.19,1.29
TRANS,Transportation,4917.0,5105.0,7809.0,8430.0,14.57,16.84
VEHPURCH,Vehicle purchases (net outlay),1576.0,1718.0,2373.0,2925.0,4.9,5.84
470111,Gasoline,1233.0,1177.0,1969.0,1893.0,3.36,3.78
500110,Vehicle insurance,894.0,895.0,1370.0,1679.0,2.55,3.35
VEHOTHXP,Other vehicle expenses,1662.0,1653.0,2765.0,3019.0,4.72,6.03
PUBTRANS,Public and other transportation,354.0,472.0,537.0,456.0,1.35,0.91
ENTRTAIN,Entertainment,1445.0,1316.0,2234.0,2156.0,3.76,4.31
APPAREL,Apparel and services,938.0,1124.0,1247.0,1328.0,3.21,2.65
PERSCARE,Personal care products and services,438.0,427.0,637.0,659.0,1.22,1.32
EDUCATN,Education,727.0,828.0,531.0,407.0,2.36,0.81
READING,Reading,65.0,47.0,72.0,75.0,0.13,0.15
ALCBEVG,Alcoholic beverages,217.0,244.0,329.0,342.0,0.7,0.68
TOBACCO,Tobacco products and smoking supplies,378.0,340.0,360.0,359.0,0.97,0.72
MISC,Miscellaneous,428.0,619.0,1023.0,767.0,1.77,1.53
CASHCONT,Cash contributions,749.0,778.0,1472.0,1420.0,2.22,2.84
INSPENSN,Personal insurance and pensions,713.0,711.0,2608.0,2712.0,2.03,5.42
INCBEFTX,Income before taxes,15596.0,16658.0,40751.0,42925.0,,
